danceability,energy,loudness,tempo,valence,acousticness,cluster,id
0.796,0.865,-6.76,130.012,0.768,0.179,4,5qQLBOEAelSN7JWqX3RIIv
0.776,0.714,-5.705,161.015,0.433,0.0283,2,4rSmXn2TIKt6iBeBDM4uOs
0.96,0.67,-7.035,133.966,0.8,0.0598,11,6R5iuYqG0HsnC41RT3lzqX
0.752,0.571,-6.422,169.155,0.492,0.0723,2,6FGPpwHlUBnl0TLGKyN4Nl
0.774,0.7,-7.334,81.99,0.624,0.163,19,3ilgxZl5g7MOQCUiky3VOG
0.815,0.666,-7.087,119.964,0.533,0.0987,19,0qo8YDKpPXlUQqp0vesiln
0.91,0.712,-7.934,115.023,0.399,0.0248,19,0fvt4b25fFbUPMdmj52PUB
0.819,0.538,-6.811,125.026,0.542,0.141,2,5jGcOhXpPE07vrSe23198B
0.74,0.469,-9.876,141.998,0.657,0.64,7,5DD9Y2IEZAvkUMpnVqg4gm
0.779,0.463,-8.505,94.909,0.688,0.0137,19,1TcPzAOy7RjHtLVV2uJgo5
0.878,0.567,-7.132,155.874,0.602,0.0177,11,1F1I723SHQdXwyekuEvVvc
0.753,0.595,-7.718,95.988,0.533,0.203,19,3ThmZJ7LQ3C20FpxU5kXJB
0.862,0.729,-6.383,121.991,0.741,0.14,11,6HEto05GbTMwdbE68M3kXU
0.8,0.761,-4.608,97.037,0.704,0.124,19,0QHtFTFvw7wYIqJUlFaLRQ
0.804,0.639,-7.951,92.011,0.526,0.344,19,4qXCzGbyq8OlFIGfcQF17O
0.823,0.567,-9.571,136.006,0.545,0.123,2,001TLpmtuQMWJYyE7q9ayM
0.8,0.636,-9.242,86.019,0.527,0.0275,19,3gro2tfkybWGoK9MflVLWs
0.499,0.574,-5.67,77.034,0.451,0.308,0,6wm7nuIQTOjviSpkk22F87
0.622,0.715,-6.363,147.106,0.306,0.0502,3,3wlFVKpDLDADlWXTNl9gGN
0.819,0.521,-7.045,121.0,0.599,0.111,19,0N9RX5PKyLlOKklH5bYtNH
0.893,0.657,-8.388,109.978,0.417,0.0643,19,5TfBut13yg4mQ1HFfHIOt5
0.828,0.785,-5.719,145.044,0.575,0.275,2,2AQjQLPLY5EZ667L2Z9M0D
0.643,0.602,-6.211,120.875,0.356,0.25,0,2DynufiRAu0Nyn5TM1Cdpx
0.84,0.707,-7.137,139.981,0.708,0.0468,11,6tJxEvSIBU46PrbcK5TDnM
0.87,0.626,-8.621,125.024,0.812,0.00852,11,4Ww41FseIYOCL0qP6MIGG5
0.828,0.438,-12.101,107.089,0.619,0.0794,19,7Mn6Tisa1wVvYusahnvjE5
0.92,0.443,-9.178,100.012,0.477,0.00746,19,3J3hOsR7G49Wz9abNiaCDi
0.592,0.571,-9.132,96.764,0.6,0.1,0,78ZmN4UVnpEedKiGqyzzDd
0.734,0.585,-9.24,119.969,0.323,0.147,2,2Li8V6Mg4O50vCODrVK8Pj
0.71,0.383,-16.201,143.103,0.406,0.245,2,7jmSuVVemJ0ixY1Xcd3F3t
