danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.449,0.218,0,-12.495,1,0.0378,0.959,0.49,0.0827,0.181,114.607,audio_features,1DvX7QmvoZMr2i2rIy6vPy,spotify:track:1DvX7QmvoZMr2i2rIy6vPy,https://api.spotify.com/v1/tracks/1DvX7QmvoZMr2i2rIy6vPy,https://api.spotify.com/v1/audio-analysis/1DvX7QmvoZMr2i2rIy6vPy,187004,4
0.427,0.171,7,-15.024,1,0.0311,0.918,0.809,0.145,0.108,99.082,audio_features,1lVMlwpSxeEkGGrFGl6qde,spotify:track:1lVMlwpSxeEkGGrFGl6qde,https://api.spotify.com/v1/tracks/1lVMlwpSxeEkGGrFGl6qde,https://api.spotify.com/v1/audio-analysis/1lVMlwpSxeEkGGrFGl6qde,251737,4
0.574,0.126,8,-14.987,1,0.0328,0.894,0.906,0.124,0.111,101.455,audio_features,0ruQME0dBzzcbdYCqD6x0j,spotify:track:0ruQME0dBzzcbdYCqD6x0j,https://api.spotify.com/v1/tracks/0ruQME0dBzzcbdYCqD6x0j,https://api.spotify.com/v1/audio-analysis/0ruQME0dBzzcbdYCqD6x0j,207932,4
0.607,0.277,6,-15.668,1,0.0337,0.957,0.864,0.116,0.211,116.193,audio_features,0YEVAn2vGbx9jI7xY6Fguf,spotify:track:0YEVAn2vGbx9jI7xY6Fguf,https://api.spotify.com/v1/tracks/0YEVAn2vGbx9jI7xY6Fguf,https://api.spotify.com/v1/audio-analysis/0YEVAn2vGbx9jI7xY6Fguf,205443,4
0.44,0.0765,5,-25.067,0,0.034,0.964,0.921,0.0948,0.199,97.708,audio_features,5sF4nEG1dZLBnODQWxGhUP,spotify:track:5sF4nEG1dZLBnODQWxGhUP,https://api.spotify.com/v1/tracks/5sF4nEG1dZLBnODQWxGhUP,https://api.spotify.com/v1/audio-analysis/5sF4nEG1dZLBnODQWxGhUP,205824,3
0.313,0.156,5,-19.028,1,0.043,0.985,0.932,0.0835,0.124,45.321,audio_features,0FazSNhRZ6WLccyfjtKFZB,spotify:track:0FazSNhRZ6WLccyfjtKFZB,https://api.spotify.com/v1/tracks/0FazSNhRZ6WLccyfjtKFZB,https://api.spotify.com/v1/audio-analysis/0FazSNhRZ6WLccyfjtKFZB,198715,3
0.433,0.163,0,-17.54,0,0.0382,0.915,0.849,0.133,0.161,88.865,audio_features,0ajS6qLPmNV7QEF0Dp6m1z,spotify:track:0ajS6qLPmNV7QEF0Dp6m1z,https://api.spotify.com/v1/tracks/0ajS6qLPmNV7QEF0Dp6m1z,https://api.spotify.com/v1/audio-analysis/0ajS6qLPmNV7QEF0Dp6m1z,205579,3
0.303,0.223,8,-16.096,1,0.0357,0.977,0.774,0.13,0.0921,176.596,audio_features,1OxWXhGSkz9VSGVhLXveg8,spotify:track:1OxWXhGSkz9VSGVhLXveg8,https://api.spotify.com/v1/tracks/1OxWXhGSkz9VSGVhLXveg8,https://api.spotify.com/v1/audio-analysis/1OxWXhGSkz9VSGVhLXveg8,202856,3
0.29,0.175,0,-19.21,1,0.035,0.986,0.936,0.0938,0.23,157.579,audio_features,2D5WUT4UAYqceSBUmwstDf,spotify:track:2D5WUT4UAYqceSBUmwstDf,https://api.spotify.com/v1/tracks/2D5WUT4UAYqceSBUmwstDf,https://api.spotify.com/v1/audio-analysis/2D5WUT4UAYqceSBUmwstDf,174553,3
0.334,0.157,2,-18.238,1,0.0349,0.93,0.905,0.158,0.203,173.995,audio_features,2Y79E6uTFHlZWhF6m2tYyO,spotify:track:2Y79E6uTFHlZWhF6m2tYyO,https://api.spotify.com/v1/tracks/2Y79E6uTFHlZWhF6m2tYyO,https://api.spotify.com/v1/audio-analysis/2Y79E6uTFHlZWhF6m2tYyO,144573,3
