danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.703,0.728,10,-6.006,0,0.274,0.275,0.0,0.266,0.422,144.035,audio_features,6sPi1gMeolXVGYn5peD4Xh,spotify:track:6sPi1gMeolXVGYn5peD4Xh,https://api.spotify.com/v1/tracks/6sPi1gMeolXVGYn5peD4Xh,https://api.spotify.com/v1/audio-analysis/6sPi1gMeolXVGYn5peD4Xh,232829,4
0.74,0.688,11,-8.31,1,0.539,0.154,0.0,0.387,0.541,144.001,audio_features,4ANrht1SKL8LQ2b9v2jH9J,spotify:track:4ANrht1SKL8LQ2b9v2jH9J,https://api.spotify.com/v1/tracks/4ANrht1SKL8LQ2b9v2jH9J,https://api.spotify.com/v1/audio-analysis/4ANrht1SKL8LQ2b9v2jH9J,201744,4
0.709,0.715,1,-7.967,1,0.469,0.478,0.0,0.21,0.566,145.944,audio_features,1LYAFsAknbsHzCRqHV5phR,spotify:track:1LYAFsAknbsHzCRqHV5phR,https://api.spotify.com/v1/tracks/1LYAFsAknbsHzCRqHV5phR,https://api.spotify.com/v1/audio-analysis/1LYAFsAknbsHzCRqHV5phR,157808,4
0.807,0.75,11,-4.396,1,0.237,0.17,0.0,0.164,0.961,141.176,audio_features,6A3SB2C4U6JtCavQOXLYNN,spotify:track:6A3SB2C4U6JtCavQOXLYNN,https://api.spotify.com/v1/tracks/6A3SB2C4U6JtCavQOXLYNN,https://api.spotify.com/v1/audio-analysis/6A3SB2C4U6JtCavQOXLYNN,139574,4
0.887,0.501,1,-7.982,1,0.419,0.498,0.0,0.122,0.403,145.995,audio_features,4o2Iwvz9M7qdUUaCmfrZAQ,spotify:track:4o2Iwvz9M7qdUUaCmfrZAQ,https://api.spotify.com/v1/tracks/4o2Iwvz9M7qdUUaCmfrZAQ,https://api.spotify.com/v1/audio-analysis/4o2Iwvz9M7qdUUaCmfrZAQ,163605,4
0.692,0.616,1,-10.693,1,0.281,0.127,0.0,0.108,0.639,141.106,audio_features,4FTdqVASPQnV80sl85fVxx,spotify:track:4FTdqVASPQnV80sl85fVxx,https://api.spotify.com/v1/tracks/4FTdqVASPQnV80sl85fVxx,https://api.spotify.com/v1/audio-analysis/4FTdqVASPQnV80sl85fVxx,197512,4
0.869,0.786,3,-9.012,1,0.329,0.0114,0.0,0.0815,0.967,160.099,audio_features,1imr5TrYo6MuzoU5Zn2hpv,spotify:track:1imr5TrYo6MuzoU5Zn2hpv,https://api.spotify.com/v1/tracks/1imr5TrYo6MuzoU5Zn2hpv,https://api.spotify.com/v1/audio-analysis/1imr5TrYo6MuzoU5Zn2hpv,139600,4
0.639,0.735,10,-6.68,0,0.373,0.278,0.0,0.0794,0.547,140.523,audio_features,0WIeUANL53pmz66ToHWtaL,spotify:track:0WIeUANL53pmz66ToHWtaL,https://api.spotify.com/v1/tracks/0WIeUANL53pmz66ToHWtaL,https://api.spotify.com/v1/audio-analysis/0WIeUANL53pmz66ToHWtaL,371487,4
0.759,0.803,1,-6.77,0,0.277,0.413,0.0,0.362,0.895,140.994,audio_features,3FMedgGsLUNwx8NciePFEK,spotify:track:3FMedgGsLUNwx8NciePFEK,https://api.spotify.com/v1/tracks/3FMedgGsLUNwx8NciePFEK,https://api.spotify.com/v1/audio-analysis/3FMedgGsLUNwx8NciePFEK,141277,4
0.776,0.585,2,-10.716,0,0.259,0.555,0.00369,0.226,0.724,138.136,audio_features,5ZRM9cNzt2CS9eZyzEyRtZ,spotify:track:5ZRM9cNzt2CS9eZyzEyRtZ,https://api.spotify.com/v1/tracks/5ZRM9cNzt2CS9eZyzEyRtZ,https://api.spotify.com/v1/audio-analysis/5ZRM9cNzt2CS9eZyzEyRtZ,120000,4
0.835,0.682,1,-8.655,1,0.366,0.0755,0.0,0.255,0.953,150.007,audio_features,1hpMP5Wv3kSFKfPIg2UgSK,spotify:track:1hpMP5Wv3kSFKfPIg2UgSK,https://api.spotify.com/v1/tracks/1hpMP5Wv3kSFKfPIg2UgSK,https://api.spotify.com/v1/audio-analysis/1hpMP5Wv3kSFKfPIg2UgSK,160205,4
0.779,0.597,8,-10.3,1,0.616,0.14,0.0,0.0885,0.738,149.176,audio_features,3n83tqlN2mraNBla71j0Cg,spotify:track:3n83tqlN2mraNBla71j0Cg,https://api.spotify.com/v1/tracks/3n83tqlN2mraNBla71j0Cg,https://api.spotify.com/v1/audio-analysis/3n83tqlN2mraNBla71j0Cg,99512,4
0.747,0.701,10,-9.758,0,0.484,0.035,0.0,0.149,0.723,142.886,audio_features,5c0L8xnB6I9DS9LKaqUx3j,spotify:track:5c0L8xnB6I9DS9LKaqUx3j,https://api.spotify.com/v1/tracks/5c0L8xnB6I9DS9LKaqUx3j,https://api.spotify.com/v1/audio-analysis/5c0L8xnB6I9DS9LKaqUx3j,188029,4
0.913,0.54,1,-10.743,1,0.34,0.192,0.0,0.117,0.785,144.078,audio_features,2KqdJfkysiVE6j0o832APo,spotify:track:2KqdJfkysiVE6j0o832APo,https://api.spotify.com/v1/tracks/2KqdJfkysiVE6j0o832APo,https://api.spotify.com/v1/audio-analysis/2KqdJfkysiVE6j0o832APo,173401,4
0.9,0.639,4,-9.132,0,0.368,0.419,1.7e-05,0.099,0.701,142.045,audio_features,2HjKAH4h67ukwKuBjTRNHt,spotify:track:2HjKAH4h67ukwKuBjTRNHt,https://api.spotify.com/v1/tracks/2HjKAH4h67ukwKuBjTRNHt,https://api.spotify.com/v1/audio-analysis/2HjKAH4h67ukwKuBjTRNHt,120000,4
0.77,0.708,9,-10.13,1,0.313,0.124,0.0,0.128,0.616,144.996,audio_features,3z3Xzi1zgNJTq99Lly4SiI,spotify:track:3z3Xzi1zgNJTq99Lly4SiI,https://api.spotify.com/v1/tracks/3z3Xzi1zgNJTq99Lly4SiI,https://api.spotify.com/v1/audio-analysis/3z3Xzi1zgNJTq99Lly4SiI,140690,4
