danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.662,0.987,10,-1.808,0,0.0727,0.00431,0.052,0.499,0.0479,99.999,audio_features,3CW9KBOZUPEcEpjGYE1xW5,spotify:track:3CW9KBOZUPEcEpjGYE1xW5,https://api.spotify.com/v1/tracks/3CW9KBOZUPEcEpjGYE1xW5,https://api.spotify.com/v1/audio-analysis/3CW9KBOZUPEcEpjGYE1xW5,195600,4
0.533,0.966,11,-0.707,0,0.0585,0.047,0.0,0.174,0.14,99.963,audio_features,6ORIjEQQU6jIIGhCscs5y7,spotify:track:6ORIjEQQU6jIIGhCscs5y7,https://api.spotify.com/v1/tracks/6ORIjEQQU6jIIGhCscs5y7,https://api.spotify.com/v1/audio-analysis/6ORIjEQQU6jIIGhCscs5y7,192000,4
0.409,0.951,7,-2.123,1,0.257,0.00263,0.257,0.401,0.104,187.997,audio_features,6dSWJAPcVBn8TPrKqla5LA,spotify:track:6dSWJAPcVBn8TPrKqla5LA,https://api.spotify.com/v1/tracks/6dSWJAPcVBn8TPrKqla5LA,https://api.spotify.com/v1/audio-analysis/6dSWJAPcVBn8TPrKqla5LA,231064,4
0.258,0.921,6,-3.912,0,0.146,0.117,1.24e-05,0.128,0.193,157.797,audio_features,5v5rbWpEf9toQLUmMo1JdW,spotify:track:5v5rbWpEf9toQLUmMo1JdW,https://api.spotify.com/v1/tracks/5v5rbWpEf9toQLUmMo1JdW,https://api.spotify.com/v1/audio-analysis/5v5rbWpEf9toQLUmMo1JdW,221578,3
0.518,0.939,1,-1.603,0,0.135,0.00499,0.00493,0.431,0.0723,100.066,audio_features,6GN7ZWNNqgVZl7t3dgH6ot,spotify:track:6GN7ZWNNqgVZl7t3dgH6ot,https://api.spotify.com/v1/tracks/6GN7ZWNNqgVZl7t3dgH6ot,https://api.spotify.com/v1/audio-analysis/6GN7ZWNNqgVZl7t3dgH6ot,181200,4
0.223,0.981,9,-0.885,0,0.57,0.00336,6.21e-05,0.282,0.133,189.586,audio_features,3aPsBE6I6l8eWZB3LN0AdG,spotify:track:3aPsBE6I6l8eWZB3LN0AdG,https://api.spotify.com/v1/tracks/3aPsBE6I6l8eWZB3LN0AdG,https://api.spotify.com/v1/audio-analysis/3aPsBE6I6l8eWZB3LN0AdG,198316,4
0.685,0.754,1,-5.237,0,0.253,0.0622,0.0453,0.189,0.186,180.009,audio_features,1EBbJK4lkT2dpsgZoaioRD,spotify:track:1EBbJK4lkT2dpsgZoaioRD,https://api.spotify.com/v1/tracks/1EBbJK4lkT2dpsgZoaioRD,https://api.spotify.com/v1/audio-analysis/1EBbJK4lkT2dpsgZoaioRD,194667,4
0.598,0.988,4,1.147,0,0.194,0.142,7.14e-05,0.165,0.129,104.952,audio_features,4SGwV4zIwcdGYybJvAj2kz,spotify:track:4SGwV4zIwcdGYybJvAj2kz,https://api.spotify.com/v1/tracks/4SGwV4zIwcdGYybJvAj2kz,https://api.spotify.com/v1/audio-analysis/4SGwV4zIwcdGYybJvAj2kz,180857,4
0.544,0.98,1,-3.079,1,0.121,0.000122,0.791,0.765,0.116,100.014,audio_features,0pTxkc8DLhLexqfATjm4Yu,spotify:track:0pTxkc8DLhLexqfATjm4Yu,https://api.spotify.com/v1/tracks/0pTxkc8DLhLexqfATjm4Yu,https://api.spotify.com/v1/audio-analysis/0pTxkc8DLhLexqfATjm4Yu,206591,4
0.541,0.931,6,-1.832,0,0.109,0.000825,0.000208,0.167,0.193,94.995,audio_features,4jF9Df8yhktHGaRV4UwQ8r,spotify:track:4jF9Df8yhktHGaRV4UwQ8r,https://api.spotify.com/v1/tracks/4jF9Df8yhktHGaRV4UwQ8r,https://api.spotify.com/v1/audio-analysis/4jF9Df8yhktHGaRV4UwQ8r,163597,4
