artist,title
Taylor Swift,Cruel Summer
Doja Cat,Paint The Town Red
Taylor Swift,Is It Over Now? (Taylor's Version) [From The Vault]
SZA,Snooze
Jung Kook,Standing Next To You
Zach Bryan Featuring Kacey Musgraves,I Remember Everything
The Beatles,Now And Then
Luke Combs,Fast Car
Morgan Wallen,Thinkin' Bout Me
Morgan Wallen,Last Night
Tate McRae,Greedy
Taylor Swift,Now That We Don't Talk (Taylor's Version) [From The Vault]
Gunna,Fukumean
Drake Featuring Sexyy Red & SZA,Rich Baby Daddy
Jelly Roll,Need A Favor
Dua Lipa,Dance The Night
Olivia Rodrigo,Vampire
Tyla,Water
Bad Bunny,Monaco
Doja Cat,Agora Hills
Drake Featuring Yeat,IDGAF
Jelly Roll With Lainey Wilson,Save Me
Miley Cyrus,Flowers
Drake Featuring J. Cole,First Person Shooter
Miley Cyrus,Used To Be Young
Taylor Swift,Say Don't Go (Taylor's Version) [From The Vault]
Paul Russell,Lil Boo Thang
Billie Eilish,What Was I Made For?
Chris Stapleton,White Horse
"Usher, Summer Walker & 21 Savage",Good Good
Taylor Swift,Slut! (Taylor's Version) [From The Vault]
Megan Thee Stallion,Cobra
Mitski,My Love Mine All Mine
Doechii Featuring Kodak Black,What It Is (Block Boy)
Noah Kahan With Post Malone,Dial Drunk
David Kushner,Daylight
Noah Kahan,Stick Season
SZA,Kill Bill
Nicki Minaj & Ice Spice With Aqua,Barbie World
Travis Scott,I Know ?
Olivia Rodrigo,Bad Idea Right?
Jessie Murph & Jelly Roll,Wild Ones
Teddy Swims,Lose Control
Fuerza Regida & Marshmello,Harley Quinn
Taylor Swift,Style (Taylor's Version)
Warren Zeiders,Pretty Little Poison
Taylor Swift,Bad Blood (Taylor's Version)
Nate Smith,World On Fire
Jung Kook Featuring Latto,Seven
Taylor Swift,Suburban Legends (Taylor's Version) [From The Vault]
Victoria Monet,On My Mama
Jason Aldean,Try That In A Small Town
Kenya Grace,Strangers
Drake,Virginia Beach
Lil Tecca,500lbs
Olivia Rodrigo,Can't Catch Me Now
Bad Bunny & Feid,Perro Negro
Jung Kook & Jack Harlow,3D
Taylor Swift,Blank Space (Taylor's Version)
Olivia Rodrigo,Get Him Back!
Cody Johnson,The Painter
Rod Wave,Great Gatsby
Selena Gomez,Single Soon
Cardi B & Megan Thee Stallion,Bongos
Lainey Wilson,Watermelon Moonshine
Karol G & Peso Pluma,Qlona
Dylan Scott,Can't Have Mine
"Peso Pluma, Gabito Ballesteros & Junior H",Lady Gaga
Morgan Wallen,Everything I Love
Drake Featuring SZA,Slime You Out
Oliver Anthony Music,Rich Men North Of Richmond
Taylor Swift,Wildest Dreams (Taylor's Version)
Taylor Swift,Out Of The Woods (Taylor's Version)
HARDY,Truck Bed
Travis Scott Featuring Drake,Meltdown
Zach Bryan Featuring The War And Treaty,Hey Driver
Taylor Swift,Welcome To New York (Taylor's Version)
Calle 24 x Chino Pacas x Fuerza Regida,Que Onda
Maluma & Carin Leon,Segun Quien
Parker McCollum,Burn It Down
Dustin Lynch,Stars Like Confetti
Myke Towers,LaLa
Taylor Swift,Shake It Off (Taylor's Version)
Sexyy Red,SkeeYee
Russell Dickerson,God Gave Me A Girl
Tim McGraw,Standing Room Only
Bad Bunny & Young Miko,Fina
Grupo Frontera & Grupo Firme,El Amor de Su Vida
Taylor Swift,All You Had To Do Was Stay (Taylor's Version)
Rod Wave Featuring 21 Savage,Turks & Caicos
Karol G,Mi Ex Tenia Razon
Taylor Swift,New Romantics (Taylor's Version)
Bad Bunny,Un Preview
"The Kid LAROI, Jung Kook & Central Cee",Too Much
Dan + Shay,Save Me The Trouble
Taylor Swift,Clean (Taylor's Version)
The Kid LAROI,Bleed
Luke Bryan,But I Got A Beer In My Hand
Carly Pearce Featuring Chris Stapleton,We Don't Fight Anymore
Zach Bryan Featuring Noah Kahan,Sarah's Place
