danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.545,0.152,4,-17.995,0,0.028,0.91,0.256,0.11,0.075,90.869,audio_features,0UC6CJgTFCikxLJZMNw8Xu,spotify:track:0UC6CJgTFCikxLJZMNw8Xu,https://api.spotify.com/v1/tracks/0UC6CJgTFCikxLJZMNw8Xu,https://api.spotify.com/v1/audio-analysis/0UC6CJgTFCikxLJZMNw8Xu,226184,4
0.435,0.104,6,-22.39,0,0.0445,0.973,0.33,0.119,0.162,120.484,audio_features,5Qnrgqy1pAm9GyNQOgyVFz,spotify:track:5Qnrgqy1pAm9GyNQOgyVFz,https://api.spotify.com/v1/tracks/5Qnrgqy1pAm9GyNQOgyVFz,https://api.spotify.com/v1/audio-analysis/5Qnrgqy1pAm9GyNQOgyVFz,279316,4
0.44,0.04,3,-16.887,1,0.0322,0.981,0.465,0.111,0.249,135.965,audio_features,4IhTXiZLKATmwhMZIb1GQN,spotify:track:4IhTXiZLKATmwhMZIb1GQN,https://api.spotify.com/v1/tracks/4IhTXiZLKATmwhMZIb1GQN,https://api.spotify.com/v1/audio-analysis/4IhTXiZLKATmwhMZIb1GQN,193749,4
0.554,0.225,3,-11.324,1,0.0281,0.892,0.0321,0.107,0.221,104.007,audio_features,0ElpbbncWT9aS7mgoqEHbQ,spotify:track:0ElpbbncWT9aS7mgoqEHbQ,https://api.spotify.com/v1/tracks/0ElpbbncWT9aS7mgoqEHbQ,https://api.spotify.com/v1/audio-analysis/0ElpbbncWT9aS7mgoqEHbQ,239880,4
0.397,0.446,7,-7.032,1,0.0373,0.49,0.00892,0.111,0.214,178.05,audio_features,0wrWxW18WK2MkrfDpRHkyh,spotify:track:0wrWxW18WK2MkrfDpRHkyh,https://api.spotify.com/v1/tracks/0wrWxW18WK2MkrfDpRHkyh,https://api.spotify.com/v1/audio-analysis/0wrWxW18WK2MkrfDpRHkyh,185000,4
0.379,0.29,4,-8.485,1,0.051,0.952,0.00106,0.118,0.169,166.467,audio_features,6k8kLJFmWkHaTbSLUhJ3H0,spotify:track:6k8kLJFmWkHaTbSLUhJ3H0,https://api.spotify.com/v1/tracks/6k8kLJFmWkHaTbSLUhJ3H0,https://api.spotify.com/v1/audio-analysis/6k8kLJFmWkHaTbSLUhJ3H0,201080,4
0.319,0.757,0,-6.117,0,0.0432,0.016,0.0,0.102,0.101,122.465,audio_features,5lRzWDEe7UuedU2QPsFg0K,spotify:track:5lRzWDEe7UuedU2QPsFg0K,https://api.spotify.com/v1/tracks/5lRzWDEe7UuedU2QPsFg0K,https://api.spotify.com/v1/audio-analysis/5lRzWDEe7UuedU2QPsFg0K,322173,4
0.862,0.314,3,-8.269,0,0.0369,0.108,0.156,0.0878,0.502,114.472,audio_features,4Tzw9IdZbVyzmpWrvsGaNX,spotify:track:4Tzw9IdZbVyzmpWrvsGaNX,https://api.spotify.com/v1/tracks/4Tzw9IdZbVyzmpWrvsGaNX,https://api.spotify.com/v1/audio-analysis/4Tzw9IdZbVyzmpWrvsGaNX,206947,4
0.307,0.371,3,-8.498,1,0.0288,0.923,0.0253,0.11,0.189,115.241,audio_features,2kfGoV9a5dbSKCNmUWH2ZF,spotify:track:2kfGoV9a5dbSKCNmUWH2ZF,https://api.spotify.com/v1/tracks/2kfGoV9a5dbSKCNmUWH2ZF,https://api.spotify.com/v1/audio-analysis/2kfGoV9a5dbSKCNmUWH2ZF,255893,3
0.706,0.46,1,-9.061,1,0.0296,0.847,0.00793,0.106,0.226,102.98,audio_features,6iWEhoALoBFnQMNVhYY0Sc,spotify:track:6iWEhoALoBFnQMNVhYY0Sc,https://api.spotify.com/v1/tracks/6iWEhoALoBFnQMNVhYY0Sc,https://api.spotify.com/v1/audio-analysis/6iWEhoALoBFnQMNVhYY0Sc,219013,4
0.581,0.38,11,-12.162,1,0.0473,0.897,0.175,0.104,0.489,135.939,audio_features,693xmBAOD4xwkS4W71W1Jn,spotify:track:693xmBAOD4xwkS4W71W1Jn,https://api.spotify.com/v1/tracks/693xmBAOD4xwkS4W71W1Jn,https://api.spotify.com/v1/audio-analysis/693xmBAOD4xwkS4W71W1Jn,214867,4
0.581,0.163,5,-14.686,1,0.0447,0.923,0.0,0.118,0.475,77.748,audio_features,2ndWbjiiNBEOrlfToKlABE,spotify:track:2ndWbjiiNBEOrlfToKlABE,https://api.spotify.com/v1/tracks/2ndWbjiiNBEOrlfToKlABE,https://api.spotify.com/v1/audio-analysis/2ndWbjiiNBEOrlfToKlABE,189400,4
0.49,0.104,4,-13.208,0,0.0635,0.964,0.0,0.162,0.278,86.675,audio_features,0fB77VOZ2FkQeKLv1DuEwp,spotify:track:0fB77VOZ2FkQeKLv1DuEwp,https://api.spotify.com/v1/tracks/0fB77VOZ2FkQeKLv1DuEwp,https://api.spotify.com/v1/audio-analysis/0fB77VOZ2FkQeKLv1DuEwp,324499,4
0.424,0.437,2,-8.588,1,0.0355,0.962,0.336,0.664,0.131,174.127,audio_features,0jZO7p0nBUi9VHedWUBS9l,spotify:track:0jZO7p0nBUi9VHedWUBS9l,https://api.spotify.com/v1/tracks/0jZO7p0nBUi9VHedWUBS9l,https://api.spotify.com/v1/audio-analysis/0jZO7p0nBUi9VHedWUBS9l,208173,3
0.567,0.131,1,-14.124,1,0.029,0.888,0.0553,0.158,0.0657,104.784,audio_features,5xYpEeGFXmkGMBQ22NfKfO,spotify:track:5xYpEeGFXmkGMBQ22NfKfO,https://api.spotify.com/v1/tracks/5xYpEeGFXmkGMBQ22NfKfO,https://api.spotify.com/v1/audio-analysis/5xYpEeGFXmkGMBQ22NfKfO,194560,4
0.319,0.294,7,-15.812,1,0.0411,0.725,0.644,0.12,0.12,124.548,audio_features,55Y5p2XyPaYBPGtzj1f9fE,spotify:track:55Y5p2XyPaYBPGtzj1f9fE,https://api.spotify.com/v1/tracks/55Y5p2XyPaYBPGtzj1f9fE,https://api.spotify.com/v1/audio-analysis/55Y5p2XyPaYBPGtzj1f9fE,168760,4
