danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.465,0.7,10,-5.163,0,0.0893,0.203,0.0,0.299,0.276,120.854,audio_features,5Se32hEA9raeboZerywxka,spotify:track:5Se32hEA9raeboZerywxka,https://api.spotify.com/v1/tracks/5Se32hEA9raeboZerywxka,https://api.spotify.com/v1/audio-analysis/5Se32hEA9raeboZerywxka,230709,4
0.943,0.558,2,-4.911,1,0.0568,0.0026,2.19e-06,0.0937,0.606,104.983,audio_features,4xhsWYTOGcal8zt0J161CU,spotify:track:4xhsWYTOGcal8zt0J161CU,https://api.spotify.com/v1/tracks/4xhsWYTOGcal8zt0J161CU,https://api.spotify.com/v1/audio-analysis/4xhsWYTOGcal8zt0J161CU,138411,4
0.746,0.549,9,-7.459,1,0.348,0.00412,1.02e-06,0.331,0.491,164.928,audio_features,5gzEL5O1ubbtIHUhLkSMTz,spotify:track:5gzEL5O1ubbtIHUhLkSMTz,https://api.spotify.com/v1/tracks/5gzEL5O1ubbtIHUhLkSMTz,https://api.spotify.com/v1/audio-analysis/5gzEL5O1ubbtIHUhLkSMTz,151182,4
0.738,0.776,10,-4.884,0,0.231,0.0202,1.3e-06,0.111,0.456,175.912,audio_features,5FDc4ljIWyW8wClzt54dhs,spotify:track:5FDc4ljIWyW8wClzt54dhs,https://api.spotify.com/v1/tracks/5FDc4ljIWyW8wClzt54dhs,https://api.spotify.com/v1/audio-analysis/5FDc4ljIWyW8wClzt54dhs,199598,4
0.47,0.64,2,-7.779,1,0.32,0.0277,0.0,0.382,0.248,163.92,audio_features,7aqfrAY2p9BUSiupwk3svU,spotify:track:7aqfrAY2p9BUSiupwk3svU,https://api.spotify.com/v1/tracks/7aqfrAY2p9BUSiupwk3svU,https://api.spotify.com/v1/audio-analysis/7aqfrAY2p9BUSiupwk3svU,247444,4
0.731,0.667,7,-7.928,0,0.0815,0.134,0.0,0.114,0.485,123.042,audio_features,1xWkeSPhf3bZqHY7Ncz8vp,spotify:track:1xWkeSPhf3bZqHY7Ncz8vp,https://api.spotify.com/v1/tracks/1xWkeSPhf3bZqHY7Ncz8vp,https://api.spotify.com/v1/audio-analysis/1xWkeSPhf3bZqHY7Ncz8vp,144390,4
0.773,0.635,10,-5.06,1,0.0452,0.0585,0.0,0.132,0.476,121.879,audio_features,2Gk6fi0dqt91NKvlzGsmm7,spotify:track:2Gk6fi0dqt91NKvlzGsmm7,https://api.spotify.com/v1/tracks/2Gk6fi0dqt91NKvlzGsmm7,https://api.spotify.com/v1/audio-analysis/2Gk6fi0dqt91NKvlzGsmm7,173253,4
0.836,0.409,9,-14.189,1,0.188,0.258,4.92e-06,0.242,0.233,101.931,audio_features,6iiCzEd1ULpq7nXbZVQ4pi,spotify:track:6iiCzEd1ULpq7nXbZVQ4pi,https://api.spotify.com/v1/tracks/6iiCzEd1ULpq7nXbZVQ4pi,https://api.spotify.com/v1/audio-analysis/6iiCzEd1ULpq7nXbZVQ4pi,122321,4
0.927,0.619,5,-4.441,0,0.0539,0.0186,0.0,0.104,0.817,117.995,audio_features,6wsqVwoiVH2kde4k4KKAFU,spotify:track:6wsqVwoiVH2kde4k4KKAFU,https://api.spotify.com/v1/tracks/6wsqVwoiVH2kde4k4KKAFU,https://api.spotify.com/v1/audio-analysis/6wsqVwoiVH2kde4k4KKAFU,211582,4
0.909,0.564,2,-7.483,1,0.31,0.0107,0.0,0.109,0.548,146.94,audio_features,0zbGWzQkLY5wn4xyiLYEi0,spotify:track:0zbGWzQkLY5wn4xyiLYEi0,https://api.spotify.com/v1/tracks/0zbGWzQkLY5wn4xyiLYEi0,https://api.spotify.com/v1/audio-analysis/0zbGWzQkLY5wn4xyiLYEi0,192508,4
0.736,0.645,1,-5.195,1,0.0807,0.0724,0.00086,0.136,0.201,132.024,audio_features,4367dXCt02KMgELPisJ2D4,spotify:track:4367dXCt02KMgELPisJ2D4,https://api.spotify.com/v1/tracks/4367dXCt02KMgELPisJ2D4,https://api.spotify.com/v1/audio-analysis/4367dXCt02KMgELPisJ2D4,188870,3
0.877,0.229,1,-15.385,1,0.553,0.0981,0.0,0.139,0.336,134.991,audio_features,7idI4LLo9LVLqrvvzhSj3n,spotify:track:7idI4LLo9LVLqrvvzhSj3n,https://api.spotify.com/v1/tracks/7idI4LLo9LVLqrvvzhSj3n,https://api.spotify.com/v1/audio-analysis/7idI4LLo9LVLqrvvzhSj3n,142838,4
