danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.65,0.871,2,-4.523,1,0.0397,0.0525,0.0,0.363,0.512,127.958,audio_features,6q2A5WxD7VlFceZXdpfj4z,spotify:track:6q2A5WxD7VlFceZXdpfj4z,https://api.spotify.com/v1/tracks/6q2A5WxD7VlFceZXdpfj4z,https://api.spotify.com/v1/audio-analysis/6q2A5WxD7VlFceZXdpfj4z,236453,4
0.684,0.872,9,-3.02,1,0.0444,0.0376,0.0,0.0677,0.554,126.005,audio_features,1CINbWotyT3WDt9EDh3cww,spotify:track:1CINbWotyT3WDt9EDh3cww,https://api.spotify.com/v1/tracks/1CINbWotyT3WDt9EDh3cww,https://api.spotify.com/v1/audio-analysis/1CINbWotyT3WDt9EDh3cww,198813,4
0.793,0.85,8,-6.696,1,0.0503,0.297,0.0056,0.0527,0.856,115.966,audio_features,65wKbNqjUTmdyk47Z31Czm,spotify:track:65wKbNqjUTmdyk47Z31Czm,https://api.spotify.com/v1/tracks/65wKbNqjUTmdyk47Z31Czm,https://api.spotify.com/v1/audio-analysis/65wKbNqjUTmdyk47Z31Czm,228093,3
0.543,0.862,0,-3.586,1,0.107,0.166,0.0,0.202,0.603,168.015,audio_features,6QeQs7lz8qR2miwx9n2epp,spotify:track:6QeQs7lz8qR2miwx9n2epp,https://api.spotify.com/v1/tracks/6QeQs7lz8qR2miwx9n2epp,https://api.spotify.com/v1/audio-analysis/6QeQs7lz8qR2miwx9n2epp,274915,4
0.808,0.699,4,-5.879,1,0.0496,0.159,0.0,0.378,0.826,126.015,audio_features,7dAt83GzvIAu9w6ur6aX4J,spotify:track:7dAt83GzvIAu9w6ur6aX4J,https://api.spotify.com/v1/tracks/7dAt83GzvIAu9w6ur6aX4J,https://api.spotify.com/v1/audio-analysis/7dAt83GzvIAu9w6ur6aX4J,229041,4
0.569,0.86,9,-5.008,0,0.049,0.0217,0.0,0.372,0.469,109.957,audio_features,2XEwnFyQhDBHq6rFEaAOQj,spotify:track:2XEwnFyQhDBHq6rFEaAOQj,https://api.spotify.com/v1/tracks/2XEwnFyQhDBHq6rFEaAOQj,https://api.spotify.com/v1/audio-analysis/2XEwnFyQhDBHq6rFEaAOQj,217680,4
0.723,0.899,2,-2.428,0,0.0345,0.246,0.0,0.118,0.591,121.054,audio_features,70fRUZsAxNKuxTy8gp4nKT,spotify:track:70fRUZsAxNKuxTy8gp4nKT,https://api.spotify.com/v1/tracks/70fRUZsAxNKuxTy8gp4nKT,https://api.spotify.com/v1/audio-analysis/70fRUZsAxNKuxTy8gp4nKT,210133,4
0.598,0.809,0,-3.691,1,0.0364,0.102,0.0,0.283,0.62,124.943,audio_features,28ooNJCBh2MWbCVYhZ8aqx,spotify:track:28ooNJCBh2MWbCVYhZ8aqx,https://api.spotify.com/v1/tracks/28ooNJCBh2MWbCVYhZ8aqx,https://api.spotify.com/v1/audio-analysis/28ooNJCBh2MWbCVYhZ8aqx,219227,4
0.738,0.592,7,-9.478,1,0.0408,0.00341,0.0,0.139,0.906,127.976,audio_features,0eZyB2PzHQHSdGrIcd6n31,spotify:track:0eZyB2PzHQHSdGrIcd6n31,https://api.spotify.com/v1/tracks/0eZyB2PzHQHSdGrIcd6n31,https://api.spotify.com/v1/audio-analysis/0eZyB2PzHQHSdGrIcd6n31,215843,4
0.669,0.566,10,-12.388,1,0.0288,0.329,0.0,0.192,0.708,111.395,audio_features,7yUv6nCxiV1pEa5MdybU5b,spotify:track:7yUv6nCxiV1pEa5MdybU5b,https://api.spotify.com/v1/tracks/7yUv6nCxiV1pEa5MdybU5b,https://api.spotify.com/v1/audio-analysis/7yUv6nCxiV1pEa5MdybU5b,243480,4
0.746,0.892,9,-5.859,1,0.0383,0.108,0.0,0.21,0.71,119.997,audio_features,5FcXxcMF1xonYnEVDl7fHy,spotify:track:5FcXxcMF1xonYnEVDl7fHy,https://api.spotify.com/v1/tracks/5FcXxcMF1xonYnEVDl7fHy,https://api.spotify.com/v1/audio-analysis/5FcXxcMF1xonYnEVDl7fHy,218789,4
0.643,0.883,11,-2.993,1,0.0392,0.0489,0.0,0.125,0.606,123.947,audio_features,6K822mx4lU6YxZz3mt98EK,spotify:track:6K822mx4lU6YxZz3mt98EK,https://api.spotify.com/v1/tracks/6K822mx4lU6YxZz3mt98EK,https://api.spotify.com/v1/audio-analysis/6K822mx4lU6YxZz3mt98EK,241253,3
0.714,0.839,1,-3.709,1,0.041,0.0383,0.0,0.0366,0.544,129.992,audio_features,3xidREsT9qVMK9mfOWkUVz,spotify:track:3xidREsT9qVMK9mfOWkUVz,https://api.spotify.com/v1/tracks/3xidREsT9qVMK9mfOWkUVz,https://api.spotify.com/v1/audio-analysis/3xidREsT9qVMK9mfOWkUVz,215680,4
0.691,0.817,5,-5.511,1,0.0769,0.445,0.0,0.287,0.398,124.973,audio_features,0NwYp0dLQruIwIWAZPvmtl,spotify:track:0NwYp0dLQruIwIWAZPvmtl,https://api.spotify.com/v1/tracks/0NwYp0dLQruIwIWAZPvmtl,https://api.spotify.com/v1/audio-analysis/0NwYp0dLQruIwIWAZPvmtl,197093,4
0.681,0.997,3,-3.611,1,0.0624,0.0946,0.0,0.377,0.769,130.131,audio_features,6ehQWK3OTeDsG3XpHgF04I,spotify:track:6ehQWK3OTeDsG3XpHgF04I,https://api.spotify.com/v1/tracks/6ehQWK3OTeDsG3XpHgF04I,https://api.spotify.com/v1/audio-analysis/6ehQWK3OTeDsG3XpHgF04I,185160,4
0.687,0.761,2,-3.714,1,0.0502,0.262,0.0,0.169,0.858,122.02,audio_features,0yrZHjRVqkajH9xePjFI1C,spotify:track:0yrZHjRVqkajH9xePjFI1C,https://api.spotify.com/v1/tracks/0yrZHjRVqkajH9xePjFI1C,https://api.spotify.com/v1/audio-analysis/0yrZHjRVqkajH9xePjFI1C,171733,4
0.756,0.917,8,-3.958,1,0.039,0.376,4.14e-06,0.149,0.945,120.122,audio_features,0tkQ3LrxKyiT9x8a2MBarw,spotify:track:0tkQ3LrxKyiT9x8a2MBarw,https://api.spotify.com/v1/tracks/0tkQ3LrxKyiT9x8a2MBarw,https://api.spotify.com/v1/audio-analysis/0tkQ3LrxKyiT9x8a2MBarw,222200,4
0.7,0.973,4,-2.814,1,0.138,0.00788,0.0,0.823,0.96,119.982,audio_features,5UIsE7Np5AItNLv35mCsPg,spotify:track:5UIsE7Np5AItNLv35mCsPg,https://api.spotify.com/v1/tracks/5UIsE7Np5AItNLv35mCsPg,https://api.spotify.com/v1/audio-analysis/5UIsE7Np5AItNLv35mCsPg,183533,4
0.782,0.97,9,-2.102,1,0.0357,0.0264,0.0,0.277,0.781,126.974,audio_features,19glykLrIU0iWh8TIuI0oR,spotify:track:19glykLrIU0iWh8TIuI0oR,https://api.spotify.com/v1/tracks/19glykLrIU0iWh8TIuI0oR,https://api.spotify.com/v1/audio-analysis/19glykLrIU0iWh8TIuI0oR,203392,4
0.684,0.966,11,-2.69,1,0.0303,0.342,0.147,0.0446,0.899,120.012,audio_features,1fE2zhbqWBo0DgAJmHEVx2,spotify:track:1fE2zhbqWBo0DgAJmHEVx2,https://api.spotify.com/v1/tracks/1fE2zhbqWBo0DgAJmHEVx2,https://api.spotify.com/v1/audio-analysis/1fE2zhbqWBo0DgAJmHEVx2,253347,4
0.754,0.769,4,-6.369,1,0.0285,0.431,0.0,0.121,0.832,124.016,audio_features,4omRd4BJaHglIrmJeUttJl,spotify:track:4omRd4BJaHglIrmJeUttJl,https://api.spotify.com/v1/tracks/4omRd4BJaHglIrmJeUttJl,https://api.spotify.com/v1/audio-analysis/4omRd4BJaHglIrmJeUttJl,211653,4
0.7,0.881,1,-4.985,1,0.0392,0.164,0.0,0.0461,0.531,125.975,audio_features,1OOv5zv6XhCfsdZtHqvKIX,spotify:track:1OOv5zv6XhCfsdZtHqvKIX,https://api.spotify.com/v1/tracks/1OOv5zv6XhCfsdZtHqvKIX,https://api.spotify.com/v1/audio-analysis/1OOv5zv6XhCfsdZtHqvKIX,206682,4
